word1	word2	label	relation	fold
bomber	helicopter	False	other	test
shovel	artefact	True	hyper	test
goldfish	pet	True	hyper	test
strawberry	produce	True	hyper	test
fighter	warplane	True	hyper	test
pig	mammal	True	hyper	test
shirt	legend	False	other	test
transport	train	False	other	test
artefact	blouse	False	other	test
turnip	dyslexia	False	other	test
coat	clothes	True	hyper	test
donkey	vertebrate	True	hyper	test
vest	good	True	hyper	test
inn	restaurant	False	other	test
penguin	dove	False	other	test
potato	food	True	hyper	test
leaf	beet	False	other	test
spade	wrench	False	other	test
pig	counterpart	False	other	test
instrument	piano	False	other	test
bag	accessory	True	hyper	test
coat	garment	True	hyper	test
frog	force	False	other	test
hawk	woodpecker	False	other	test
stove	device	True	hyper	test
hat	italian	False	other	test
saw	herat	False	other	test
tiger	mammal	True	hyper	test
goldfish	vertebrate	True	hyper	test
mackerel	seafood	True	hyper	test
lettuce	bond	False	other	test
iron	spade	False	other	test
ferry	motorcycle	False	other	test
wear	coat	False	other	test
stereo	appliance	True	hyper	test
grenade	glucose	False	other	test
dolphin	vertebrate	True	hyper	test
tail	cod	False	other	test
chair	dresser	False	other	test
buffalo	cow	False	other	test
pistol	weapon	True	hyper	test
guard	dagger	False	other	test
horse	beast	True	hyper	test
garlic	seasoning	True	hyper	test
grapefruit	re-assessment	False	other	test
roof	villa	False	other	test
sword	object	True	hyper	test
bear	fur	False	other	test
turtle	animal	True	hyper	test
trumpet	artifact	True	hyper	test
pharaoh	mackerel	False	other	test
villa	castle	False	other	test
washer	object	True	hyper	test
trip	bowl	False	other	test
dwelling	castle	False	other	test
villa	structure	True	hyper	test
banjo	flute	False	other	test
fork	utensil	True	hyper	test
hat	headdress	True	hyper	test
metal	ambulance	False	other	test
bed	sofa	False	other	test
frog	turtle	False	other	test
cloak	commodity	True	hyper	test
knife	foreboding	False	other	test
revolver	merchandising	False	other	test
vulture	raptor	True	hyper	test
alcohol	cottage	False	other	test
dress	glove	False	other	test
citrus	lime	False	other	test
grape	fruit	True	hyper	test
vest	skin	False	other	test
vest	artefact	True	hyper	test
bowl	object	True	hyper	test
shirt	pattern	False	other	test
motorcycle	transport	True	hyper	test
vessel	mug	False	other	test
phone	good	True	hyper	test
herring	seafood	True	hyper	test
spade	submissiveness	False	other	test
mosquito	cockroach	False	other	test
hawk	predator	True	hyper	test
glider	aircraft	True	hyper	test
vulture	owl	False	other	test
kitchenware	spoon	False	other	test
animal	hornet	False	other	test
stereo	reservation	False	other	test
turtle	reptile	True	hyper	test
goat	mammal	True	hyper	test
cathedral	building	True	hyper	test
jet	ambulance	False	other	test
steel	oven	False	other	test
pear	plum	False	other	test
dresser	artifact	True	hyper	test
glove	historian	False	other	test
van	vehicle	True	hyper	test
scooter	necessity	False	other	test
artifact	wrench	False	other	test
peach	coconut	False	other	test
stereo	device	True	hyper	test
screwdriver	drain	False	other	test
wrench	tool	True	hyper	test
bomber	airplane	True	hyper	test
fox	animal	True	hyper	test
fork	tooth	False	other	test
goose	continuum	False	other	test
coat	covering	True	hyper	test
gun	shotgun	False	other	test
beast	fox	False	other	test
leaf	parsley	False	other	test
microphone	bottle	False	other	test
bomber	conveyance	True	hyper	test
falcon	vertebrate	True	hyper	test
kalashnikov	rifle	False	other	test
chair	furniture	True	hyper	test
deer	vertebrate	True	hyper	test
truck	m	False	other	test
bit	horse	False	other	test
pistol	object	True	hyper	test
bottle	artefact	True	hyper	test
tanker	artifact	True	hyper	test
radio	stereo	False	other	test
mackerel	vertebrate	True	hyper	test
castle	fortification	True	hyper	test
shirt	object	True	hyper	test
mug	object	True	hyper	test
back	couch	False	other	test
revolver	bazooka	False	other	test
knife	weapon	True	hyper	test
passenger	hawk	False	other	test
jacket	pulse	False	other	test
falcon	underdog	False	other	test
radio	system	True	hyper	test
hammer	fork	False	other	test
wardrobe	artifact	True	hyper	test
chair	object	True	hyper	test
bird	owl	False	other	test
couch	snap	False	other	test
carp	seafood	True	hyper	test
glider	craft	True	hyper	test
penguin	teddy	False	other	test
squirrel	goat	False	other	test
castle	lodging	True	hyper	test
hat	headgear	True	hyper	test
accommodation	castle	False	other	test
trout	phobia	False	other	test
sheep	herbivore	True	hyper	test
hatchet	iron	False	other	test
cello	artefact	True	hyper	test
swan	robin	False	other	test
swan	vertebrate	True	hyper	test
corn	infertility	False	other	test
outing	television	False	other	test
garlic	spice	True	hyper	test
garment	cloak	False	other	test
copper	flute	False	other	test
produce	cucumber	False	other	test
exterior	bottle	False	other	test
falcon	bird	True	hyper	test
vertebrate	cow	False	other	test
flute	o	False	other	test
weapon	axe	False	other	test
elm	oak	False	other	test
fridge	food	False	other	test
glove	bonfire	False	other	test
lime	strawberry	False	other	test
elephant	animal	True	hyper	test
creature	mackerel	False	other	test
blouse	good	True	hyper	test
jet	color	False	other	test
oven	artifact	True	hyper	test
oven	artefact	True	hyper	test
washer	device	True	hyper	test
cockroach	creature	True	hyper	test
chair	artefact	True	hyper	test
alligator	predator	True	hyper	test
jacket	scrutiny	False	other	test
whale	seafood	True	hyper	test
fridge	artefact	True	hyper	test
library	edifice	True	hyper	test
juice	cranberry	False	other	test
plumage	goose	False	other	test
frog	amphibian	True	hyper	test
animal	hawk	False	other	test
vertebrate	tiger	False	other	test
scarf	artefact	True	hyper	test
fighter	lecturer	False	other	test
tail	fox	False	other	test
glider	front	False	other	test
dial	phone	False	other	test
furnishing	sofa	False	other	test
cow	ruminant	True	hyper	test
body	violin	False	other	test
screwdriver	tool	True	hyper	test
cloak	trousers	False	other	test
dress	apparel	True	hyper	test
revolver	pistol	True	hyper	test
castle	site	True	hyper	test
parsley	produce	True	hyper	test
pet	turtle	False	other	test
pheasant	pakistani	False	other	test
sword	arm	True	hyper	test
spoon	artefact	True	hyper	test
leg	cockroach	False	other	test
phone	device	True	hyper	test
desk	object	True	hyper	test
train	vehicle	True	hyper	test
bottle	artifact	True	hyper	test
circuit	television	False	other	test
moth	grasshopper	False	other	test
oven	device	True	hyper	test
building	villa	False	other	test
key	saxophone	False	other	test
television	artifact	True	hyper	test
squirrel	vertebrate	True	hyper	test
restaurant	construction	True	hyper	test
vertebrate	coyote	False	other	test
freezer	television	False	other	test
frog	animal	True	hyper	test
car	fighter	False	other	test
couch	artefact	True	hyper	test
gun	artefact	True	hyper	test
couch	object	True	hyper	test
couch	bed	False	other	test
ambulance	runner-up	False	other	test
scissors	hatchet	False	other	test
eye	cat	False	other	test
robin	animal	True	hyper	test
fork	turnkey	False	other	test
deer	bullshit	False	other	test
garlic	hallway	False	other	test
creature	pig	False	other	test
lime	food	True	hyper	test
problem	library	False	other	test
silk	blouse	False	other	test
apple	food	True	hyper	test
castle	building	True	hyper	test
tanker	craft	True	hyper	test
vertebrate	sheep	False	other	test
missile	arm	True	hyper	test
scarf	accessory	True	hyper	test
seafood	salmon	False	other	test
gate	castle	False	other	test
windshield	van	False	other	test
coyote	carnivore	True	hyper	test
herring	creature	True	hyper	test
launcher	axe	False	other	test
parsley	food	True	hyper	test
car	vehicle	True	hyper	test
beet	clinician	False	other	test
goose	waterfowl	True	hyper	test
cottage	housing	True	hyper	test
bird	sparrow	False	other	test
villa	site	True	hyper	test
snake	establishment	False	other	test
goat	vertebrate	True	hyper	test
cetacean	whale	False	other	test
firearm	revolver	False	other	test
missile	vehicle	True	hyper	test
bomber	artifact	True	hyper	test
wood	spoon	False	other	test
guitar	artifact	True	hyper	test
sieve	frame	False	other	test
cutlery	knife	False	other	test
castle	necessity	False	other	test
eagle	predator	True	hyper	test
frigate	bomber	False	other	test
fridge	commodity	True	hyper	test
trouble	carp	False	other	test
bull	animal	True	hyper	test
mackerel	fish	True	hyper	test
rat	creature	True	hyper	test
sieve	filter	True	hyper	test
availability	dishwasher	False	other	test
head	cabbage	False	other	test
artefact	saw	False	other	test
bottle	object	True	hyper	test
jar	container	True	hyper	test
robe	apparel	True	hyper	test
piano	artefact	True	hyper	test
scarf	poem	False	other	test
van	crime	False	other	test
rabbit	beast	True	hyper	test
sweater	object	True	hyper	test
oven	commodity	True	hyper	test
potato	vegetable	True	hyper	test
carp	vertebrate	True	hyper	test
sieve	artifact	True	hyper	test
bowl	kitchenware	True	hyper	test
cucumber	food	True	hyper	test
button	blouse	False	other	test
evergreen	cypress	False	other	test
back	cloak	False	other	test
squirrel	rodent	True	hyper	test
pineapple	produce	True	hyper	test
trumpet	device	True	hyper	test
cottage	construction	True	hyper	test
grenade	object	True	hyper	test
beast	lion	False	other	test
whale	food	True	hyper	test
bed	peninsula	False	other	test
bowl	inside	False	other	test
violin	device	True	hyper	test
building	pub	False	other	test
hammer	nausea	False	other	test
freezer	artefact	True	hyper	test
inside	truck	False	other	test
falcon	creature	True	hyper	test
object	robe	False	other	test
saw	utensil	True	hyper	test
hawk	raptor	True	hyper	test
speaker	radio	False	other	test
trigger	cannon	False	other	test
glove	accessory	True	hyper	test
shirt	artefact	True	hyper	test
oven	import	False	other	test
ceiling	villa	False	other	test
scarf	artifact	True	hyper	test
dress	artifact	True	hyper	test
bus	vehicle	True	hyper	test
furnishing	wardrobe	False	other	test
phone	artifact	True	hyper	test
catfish	fish	True	hyper	test
hat	object	True	hyper	test
bull	cluster	False	other	test
eye	frog	False	other	test
clothing	scarf	False	other	test
hammer	object	True	hyper	test
axe	spade	False	other	test
ferry	boat	True	hyper	test
ambulance	conveyance	True	hyper	test
hawk	goose	False	other	test
lion	carnivore	True	hyper	test
bowl	artifact	True	hyper	test
oak	tree	True	hyper	test
fox	vertebrate	True	hyper	test
gill	goldfish	False	other	test
bomb	arm	True	hyper	test
bag	object	True	hyper	test
animal	eagle	False	other	test
vertebrate	herring	False	other	test
tiger	beast	True	hyper	test
beef	bull	False	other	test
hospital	institution	True	hyper	test
spinach	vegetable	True	hyper	test
desk	furniture	True	hyper	test
penguin	seabird	True	hyper	test
paw	lion	False	other	test
trout	creature	True	hyper	test
hotel	pub	False	other	test
battleship	bus	False	other	test
trout	food	True	hyper	test
tanker	hull	False	other	test
stalk	broccoli	False	other	test
washer	commodity	True	hyper	test
cat	paw	False	other	test
elephant	hospital	False	other	test
sieve	tool	True	hyper	test
robe	artifact	True	hyper	test
salmon	goldfish	False	other	test
piano	investor	False	other	test
sieve	glass	False	other	test
back	train	False	other	test
apparel	jacket	False	other	test
wood	sofa	False	other	test
moped	scooter	False	other	test
taste	bomber	False	other	test
creature	giraffe	False	other	test
instrument	cello	False	other	test
robin	vertebrate	True	hyper	test
cushion	chair	False	other	test
coyote	mammal	True	hyper	test
turtle	vertebrate	True	hyper	test
blouse	clothing	True	hyper	test
salmon	vertebrate	True	hyper	test
coyote	beast	True	hyper	test
store	hotel	False	other	test
carrot	parsley	False	other	test
wasp	occupation	False	other	test
hawk	creature	True	hyper	test
good	fridge	False	other	test
acacia	tree	True	hyper	test
hat	clothing	True	hyper	test
radio	good	True	hyper	test
artefact	revolver	False	other	test
vertebrate	snake	False	other	test
missile	grenade	False	other	test
hornet	effectiveness	False	other	test
fox	giraffe	False	other	test
ant	insect	True	hyper	test
language	tuna	False	other	test
animal	bear	False	other	test
wood	box	False	other	test
vulture	predator	True	hyper	test
penguin	animal	True	hyper	test
assessor	giraffe	False	other	test
turnip	radish	False	other	test
knife	tableware	True	hyper	test
cottage	edifice	True	hyper	test
metal	bus	False	other	test
grapefruit	citrus	True	hyper	test
phone	gadget	True	hyper	test
cat	mammal	True	hyper	test
clothes	hat	False	other	test
grapefruit	pineapple	False	other	test
scavenger	crow	False	other	test
durability	jet	False	other	test
animal	trout	False	other	test
pheasant	sparrow	False	other	test
cucumber	vegetable	True	hyper	test
londoner	herring	False	other	test
trunk	car	False	other	test
yacht	artefact	True	hyper	test
mammal	elephant	False	other	test
juice	peach	False	other	test
motorcycle	artefact	True	hyper	test
fighter	aeroplane	True	hyper	test
helicopter	top	False	other	test
hat	crown	False	other	test
eye	cow	False	other	test
strawberry	fruit	True	hyper	test
accommodation	cottage	False	other	test
fish	carp	False	other	test
revolver	device	True	hyper	test
plum	apple	False	other	test
animal	mackerel	False	other	test
ape	gorilla	False	other	test
flute	artifact	True	hyper	test
dresser	furnishing	True	hyper	test
device	television	False	other	test
peach	fruit	True	hyper	test
penguin	creature	True	hyper	test
elm	tree	True	hyper	test
shirt	underpants	False	other	test
rat	beaver	False	other	test
train	anything	False	other	test
battleship	artefact	True	hyper	test
robin	creature	True	hyper	test
bottle	container	True	hyper	test
turtle	alligator	False	other	test
coconut	fruit	True	hyper	test
volunteer	fighter	False	other	test
stair	cathedral	False	other	test
bottle	label	False	other	test
hotel	accommodation	True	hyper	test
frog	beast	True	hyper	test
bull	vertebrate	True	hyper	test
end	spear	False	other	test
scarf	fabric	False	other	test
alligator	creature	True	hyper	test
hammer	tool	True	hyper	test
beaver	coyote	False	other	test
jet	aeroplane	True	hyper	test
wasp	insect	True	hyper	test
skin	dolphin	False	other	test
rabbit	vertebrate	True	hyper	test
cow	petition	False	other	test
sheep	creature	True	hyper	test
fork	saw	False	other	test
wardrobe	furniture	True	hyper	test
bomber	warplane	True	hyper	test
couch	furnishing	True	hyper	test
bass	cello	False	other	test
snake	creature	True	hyper	test
revolver	object	True	hyper	test
beet	produce	True	hyper	test
rifle	weapon	True	hyper	test
jet	craft	True	hyper	test
bomber	setting	False	other	test
jet	artefact	True	hyper	test
hilt	sword	False	other	test
freezer	device	True	hyper	test
bed	furnishing	True	hyper	test
table	artefact	True	hyper	test
racism	tanker	False	other	test
elephant	triumph	False	other	test
artillery	donkey	False	other	test
hatchet	pincer	False	other	test
vest	clothing	True	hyper	test
turnip	food	True	hyper	test
pineapple	food	True	hyper	test
jar	vessel	True	hyper	test
food	grapefruit	False	other	test
ambulance	artifact	True	hyper	test
pheasant	game	True	hyper	test
battleship	vessel	True	hyper	test
dress	shirt	False	other	test
plume	pigeon	False	other	test
wizard	spear	False	other	test
fruit	apple	False	other	test
dagger	spear	False	other	test
artifact	motorcycle	False	other	test
site	hospital	False	other	test
rat	animal	True	hyper	test
spoon	empathy	False	other	test
clothing	glove	False	other	test
wardrobe	artefact	True	hyper	test
spoon	object	True	hyper	test
axe	clearance	False	other	test
cat	goat	False	other	test
shovel	object	True	hyper	test
cloak	blouse	False	other	test
coyote	creature	True	hyper	test
object	dresser	False	other	test
mug	container	True	hyper	test
coyote	elephant	False	other	test
bear	mammal	True	hyper	test
oak	poplar	False	other	test
giraffe	vertebrate	True	hyper	test
woodpecker	creature	True	hyper	test
pub	edifice	True	hyper	test
peach	produce	True	hyper	test
moth	dairy	False	other	test
tobacco	vest	False	other	test
barrel	shirt	False	other	test
fox	predator	True	hyper	test
garlic	produce	True	hyper	test
dress	artefact	True	hyper	test
dagger	artefact	True	hyper	test
scholar	missile	False	other	test
jacket	commodity	True	hyper	test
sheep	beast	True	hyper	test
giraffe	herbivore	True	hyper	test
tanker	artefact	True	hyper	test
dress	garment	True	hyper	test
axe	tool	True	hyper	test
tiger	homeland	False	other	test
foot	dove	False	other	test
pig	skin	False	other	test
vest	covering	True	hyper	test
broccoli	produce	True	hyper	test
beaver	animal	True	hyper	test
castle	defense	True	hyper	test
scooter	artifact	True	hyper	test
sheep	snout	False	other	test
cod	seafood	True	hyper	test
lock-up	spoon	False	other	test
bird	robin	False	other	test
glider	transport	True	hyper	test
cello	device	True	hyper	test
artefact	cannon	False	other	test
stocking	vest	False	other	test
hatchet	cannon	False	other	test
artifact	vest	False	other	test
bull	mammal	True	hyper	test
beetle	animal	True	hyper	test
bomber	aircraft	True	hyper	test
fork	tool	True	hyper	test
jacket	wear	True	hyper	test
good	cloak	False	other	test
owl	veracity	False	other	test
cathedral	church	True	hyper	test
cannon	artifact	True	hyper	test
mackerel	food	True	hyper	test
hotel	castle	False	other	test
mackerel	dolphin	False	other	test
gorilla	animal	True	hyper	test
frog	creature	True	hyper	test
sheep	cow	False	other	test
pineapple	plan	False	other	test
box	mortality	False	other	test
strawberry	alibi	False	other	test
stripe	lizard	False	other	test
onion	vegetable	True	hyper	test
deer	creature	True	hyper	test
dress	wear	True	hyper	test
coyote	animal	True	hyper	test
beaver	mammal	True	hyper	test
jet	frigate	False	other	test
freight	sheep	False	other	test
commodity	sweater	False	other	test
helicopter	conveyance	True	hyper	test
